have	[-0.12720517519278937, 0.2067419012416699, -0.0432042228079809, -0.26783273188763845, 0.003650272041995333, 0.03513486023039325, -0.08791147645479924, -0.1284175510907021, -0.17197230182264378, 0.16343208935434853, -0.04130031118909487, 0.10560780722467132, 0.15795310907947407, -0.13805830356436025, -0.01903174351021484, 0.2173360029996224, 0.016272724461041117, 0.06537897368305329, -0.08570495945387889, -0.17882426622495404, 0.010842563798402701, 0.21359999845772634, 0.12049566921551441, -0.09490031638984867, 0.16394128692280363, -0.15397605844652254, 0.020883558129455564, -0.2954512938839779, -0.13673299935457714, 0.11906496544606031, -0.017394605827139715, 0.24414728389433585, 0.08322578418898052, 0.1725558942856948, 0.008049628413767296, 0.14285494875922783, -0.06391828069155747, -0.2571991055527051, -0.22782282644032642, -0.111715938584115, -0.16665549088332948, 0.11609963778575783, -0.07979768131478482, 0.17401509262363826, 0.04509915409274847, 0.11622810873620423, 0.03296561714676098, -0.2056331197897007, 0.06341602406678708, 0.06632568970538628]
stole	[0.20770272365925674, 0.048522210858063096, 0.11938663582289426, -0.1954152429125247, -0.15767339478965137, 0.09527232700955478, 0.1921881807484957, -0.2533666779692735, -0.19621538055160637, -0.07394224267771111, -0.11664103250831526, -0.04990535402759378, -0.1531841213872965, 0.08142175749770916, 0.1686701722490027, 0.11672958823941228, 0.06347843500951011, 0.1949055159608154, 0.12349120716297644, 0.11978713388824494, 0.19711879134237267, -0.1867809404485719, -0.08768268171593488, -0.17482205386374533, -0.15340610996573986, -0.15778885912070664, 0.01827960064553062, -0.10551122198745681, 0.1312299969048064, 0.02445431338681628, 0.27559471463499735, -0.032873696635024985, 0.060733101991734276, 0.2490932602087847, 0.16157156791850494, -0.1991489645332497, 0.1260250559402932, 0.03220435985814342, 0.029909871106501028, -0.15507975734361001, 0.14562037021849697, -0.10331836140268955, -0.07397209941851121, -0.09540099768628553, -0.012600980002500874, 0.009750617290713488, 0.04850835601722535, -0.12845967588988771, -0.12876699191519037, 0.2022209650620971]
permeates	[0.18836560421351992, -0.1951612766234653, 0.22959801527408175, -0.09832471283669146, -0.12357107546319536, -0.15955105696190547, -0.023367367611355168, 0.10206220383369122, -0.10840061430332017, 0.12325804834834965, 0.007261323652309523, 0.0604763905748849, -0.06723781072402689, 0.01912274628174283, -0.18770242772518106, 0.12298008594224336, -0.25639440221295934, -0.3027573637285481, 0.08829428120013467, 0.03387890849532085, -0.1950693566163022, 0.23334990394229635, -0.17649747114391207, 0.1576394264205081, -0.2442463776911377, -0.036274320740491604, 0.06481895632995265, 0.11690052088287238, 0.09557212559452291, 0.1822924817244785, 0.08246992229011167, 0.10136089753313896, -0.11876308037298097, -0.15669183727801458, 0.03147589284237127, 0.01114852088313847, 0.22231319411716136, -0.10712050053367642, 0.21765579164695192, -0.0550653053712045, -0.06012608088663409, -0.09312239201916543, 0.05454095787648908, -0.06447171466224244, 0.06962367426729124, -0.1471753639800943, -0.13628711330467166, -0.2113511132883516, -0.040057968870028667, 0.107157484571543]
low than	[-0.13426198500482073, 0.10778119039820942, 0.10036698568479077, -0.0855066292662732, -0.031671928015477226, 0.11581661567361222, 0.1204313501473294, 0.04315170060017976, -0.01610385850370367, 0.07316408122642803, -0.04286201993020884, 0.16117038734192662, -0.09286273584503393, -0.09558915867011859, 0.1090153079021849, 0.14607732944283502, 0.15623989090439555, -0.11184183436693491, -0.2097416579547965, -0.109952978790878, 0.04848240884050647, -0.10288471388255506, 0.30591322774985946, 0.18069894428095318, -0.02150851175223281, -0.1512111329301938, 0.23251363253332716, 0.13899182750251998, 0.15961855246606046, -0.23416109777317493, 0.040948037716482734, -0.18914635496507692, -0.1357901897464069, 0.11633612799763204, 0.2027871749583681, -0.05650005585527628, 0.20515498621277495, 0.21056628676252398, -0.14264720708398718, 0.08816542681911545, 0.17534529472986948, 0.11191826082674496, 0.12291998265345289, -0.18295694333836232, -0.047745008049973385, -0.16037669203929836, -0.20684415221809987, 0.054338253460718175, -0.058241879883208, -0.17696858050816577]
wary of	[0.2203765689718864, -0.20349517871384457, -0.05503344043757067, -0.05852152000887414, -0.030173207944332973, 0.0796427491745139, -0.1715727612450231, -0.13508438802273337, -0.11368697038581958, -0.18649932897292634, 0.15808879174382676, 0.07158705090970613, 0.11159112336552925, -0.17921323171893463, 0.20556786701839425, -0.2409704997098305, 0.07499267121863168, 0.007771468012907456, -0.10009524356550287, -0.08487922862460552, -0.005285459880755333, -0.16730943150954006, -0.13071146690721436, -0.05775040143109181, -0.10727456022559792, -0.23008750021192093, 0.07560911636281768, 0.15047994998318384, 0.005871850383985111, 0.11199577435204768, 0.12759044989521548, 0.13343809624854513, 0.20249671841844114, 0.05508917726515561, 0.0684117796731217, 0.16497887348061233, 0.14617423318329528, 0.13464719764744168, -0.004163057667330795, 0.1720208963317646, 0.196609227330872, 0.092449093188478, -0.051869280836499235, 0.20475650654251196, 0.12370811417270125, -0.11340866776384971, 0.11690038660414409, -0.147035201065562, -0.27164154054743805, 0.20246704119013456]
ban apps for	[0.16344011408756257, 0.05717300023871318, -0.19928390358699535, -0.04181605695338275, -0.12438925021413814, 0.07175658399391095, 0.009726962353972577, 0.22037532852801667, 0.12455519000845397, -0.007987916665132584, 0.15633199975013484, 0.21437425201466664, 0.24823174693459563, 0.13176067542540315, -0.060487326604926187, -0.12225657822451444, 0.14931124055178496, -0.16088126636481512, -0.023754858450900553, -0.13382940144472097, 0.2681588585400712, -0.1357884266782856, -0.10682712378090056, 0.20137022625178302, -0.08990388763060066, -0.18291053805783594, 0.10019458405602955, -0.1492251565770767, -0.15431263047539515, -0.2012257475088127, 0.13075538893686042, 0.08575608944220374, 0.1702031038166054, 0.042768776365058575, 0.14391621421339945, 0.1440304570461852, 0.19858413586726606, 0.041654513129168, 0.045929518015758654, 0.005635837694967921, 0.11857708170997538, 0.1021019201029319, 0.24163971318301886, -0.13520681522735764, -0.15471452772216654, 0.08975335998182635, -0.16891116281853105, 0.1063731950004012, 0.027627439383386628, 0.12177160088743436]
sue	[0.21494722722287224, -0.027852273018602144, 0.0438423739294294, 0.13200240383302353, 0.1520861546810065, 0.008550579650363578, -0.05311798795727912, 0.02763582373853875, -0.1751954583151201, 0.016629123614879268, -0.0777170188352003, 0.11556114197598519, 0.045014960246990136, 0.08575649105815522, -0.14344882386262323, 0.16968252937708866, 0.22015355616538007, 0.4502888827348617, -0.13967820413989374, -0.07779618095276374, -0.11159987913631687, 0.07672790479974421, 0.11349065799291148, 0.1804451253117558, 0.08055676555324445, 0.05440780774030627, -0.18808267391388983, -0.08550598551514574, -0.2361630674305273, 0.06997663970473188, 0.14310308367328464, -0.18462659459184116, 0.07897153547071625, 0.18448921345796157, 0.09698741016974925, 0.12974360874942648, 0.03265377249699278, -0.164926187931338, 0.04626492962447672, 0.007969793776781548, -0.19507275791795764, 0.03959044508663599, -0.09157595259193191, 0.02929871689199316, -0.11527967515447032, -0.045116110978356744, 0.18643069496175022, -0.14831618464257956, -0.1742314871304695, 0.20382382331805607]
is likely	[-0.08212545888449696, -0.051943403845750975, 0.17487938995198057, 0.1839330786936062, -0.042646478182967296, 0.047257662877705414, 0.18278828231732885, -0.17306813324192274, 0.27828931315716904, -0.2456804354098451, 0.03897726630422035, 0.0777969100975683, 0.14104735896161036, -0.18855117580315472, 0.18124194727964105, -0.041864159695412, 0.20638385302922188, 0.22173043078262036, -0.1761282121292561, 0.11467401883123161, -0.18919559841801073, -0.15496320395996938, 0.1492406404750551, 0.03428374367349273, 0.0012706210062204983, 0.03682783548262337, 0.06340081270077408, 0.2058999139464935, -0.1038053733203984, 0.23820921911878298, -0.041168818936274915, -0.05339721703233164, -0.08791206047675239, 0.11960668231846623, 2.5541727539659506e-06, 0.1864671907100245, 0.1731330168641817, -0.15611728839744954, -0.03900836230005817, 0.09961699298802745, 0.1950281752052505, 0.025068604682786582, -0.03341345735981839, 0.13482719465166365, -0.15845008748661968, 0.08211957840657289, -0.07681378369581776, -0.0556505481197176, 0.1367962658503444, -0.210150084934755]
to arrive	[0.20270107364306597, 0.17218660892483673, -0.053114578242170835, -0.043363017554462376, -0.09798809259473777, -0.104239023415742, -0.05146754895070573, 0.05590919583918794, -0.01560367990229277, -0.15311758834334488, -0.06881254452282697, -0.026670327033193886, -0.139875781405226, 0.16856893883653168, -0.24120681914298736, 0.21646652275398848, 0.07171517357957961, -0.038585313219839455, -0.15862018296591524, 0.2036727466210588, 0.05672381420989508, 0.18669798675227658, 0.16679736340557172, 0.1910728367128745, 0.02613934586615155, 0.0002919279557227468, -0.16051184020082063, -0.19628929565374484, 0.06801396783393719, -0.16307712640328498, 0.06696664078992502, 0.17000760732161643, -0.2749314582109117, 0.06382361377434745, -0.19885560222556467, 0.18120488265814785, -0.05150101969494862, -0.215258416870102, -0.01631345960110936, 0.18678191916161002, -0.05473185969344718, -0.02109061792265907, 0.16547901551048805, -0.10079215109293914, -0.18568480858855554, -0.08173738467171329, 0.2584702978004019, 0.054303460100821106, -0.1164073951385903, 0.09629467166490932]
bite apple on	[0.010258381415888081, 0.0863713479086165, -0.17633307213674032, -0.03721075637763562, 0.17365114296854636, 0.20092499820003154, 0.1380398806040031, -0.21850425065381682, -0.04747765627341918, -0.028418709869931037, 0.004482088897550613, -0.13002726618970964, -0.11969393505910217, -0.2534830124904238, -0.17640257250853436, 0.13414872425388416, -0.3158549276426518, -0.11312887206147232, 0.045855606244765285, 0.030549950944269738, -0.17536260848394994, 0.23464895333570115, 0.12617009535926485, -0.07202782636248593, 0.03142748966150855, 0.24695555773973107, -0.05079218864415366, -0.1576485826627321, 0.13246379577363396, 0.2287377018817686, 0.16647634874787298, 0.04450627735008127, -0.10166394312777287, -0.08500189490839334, -0.04511841455082776, -0.11964377038732073, 0.12169335865982953, 0.13549656632921248, 0.14010822734610476, 0.03786321031795095, -0.15945735170733716, -0.030279629107133114, 0.04770521812827754, 0.12119823794486324, -0.27013067986739353, 0.031141703041533873, -0.015068390211637242, 0.04829404012488971, -0.08142868601362024, 0.22108524853741504]
question	[0.14696210156852915, 0.17998334937202007, 0.16227758750107127, 0.1573712341270723, 0.22493471952316713, -0.22453551737116895, 0.22295200900368345, -0.028063847058940623, 0.07404832423349036, 0.12866364919306772, 0.062487331911002135, 0.03881003398998926, 0.20740333786907286, -0.17360113649021064, 0.08528537312069501, -0.05992481364015158, 0.1056205796918987, -0.07792037708536935, -0.16211867861928814, 0.21257687226734512, 0.1596501664424145, 0.05543785483139047, 0.04613092731699353, -0.11922338381033715, -0.08485537583578835, -0.22419247361280437, -0.0818171417279104, -0.08660026982879297, -0.09404384808589622, 0.21824104762017943, -0.21182774727439727, -0.11708776238715009, 0.047191735523420715, -0.17340265100385022, 0.23756853736559314, 0.19612638991352577, -0.16681405875013755, 0.07247477089459034, 0.1185200548357083, -0.02840627662340526, -0.05756006044470966, -0.20332135201852103, -0.07609271761278431, -0.15524761398033918, 0.012890196042729129, 0.05523120484776012, 0.1478612996050263, 0.14314009307098582, -0.08853481553599336, 0.09239620287292724]
hire	[-0.019275039747244278, 0.14318576659157503, -0.08198054878194753, 0.05313366333652462, 0.062302493969392934, -0.1469443455167013, -0.19088244143446512, 0.03921133995123854, -0.20414507901504075, -0.02883602082405724, -0.12244143145008497, 0.18074014249913212, -0.09558583593879613, 0.012054408795287581, 0.18510252010818717, -0.2034158690354309, 0.14599460780286486, -0.37823846846364184, 0.03286116299346177, -0.18486423329775795, -0.14301922985462978, 0.12058137093844361, 0.2700317757799648, 0.13714672023828048, -0.0364487145275489, -0.000706729716544594, -0.15409969947129126, -0.19400881434997835, -0.1493612420144547, 0.12274102225844735, -0.08375126982863272, -0.10404074071749414, 0.1609278324990789, 0.19772595210915317, 0.18887862580519243, -0.11806810659488368, -0.09971800058940321, -0.09014622191679787, -0.2554307320833329, 0.1486494146044979, 0.06488836742409869, 0.07295054832376426, 0.12382761251118997, 0.16420471105848142, 0.06297931335132587, -0.06505601715218136, -0.06207188488667257, -0.0012436033519670655, 0.05331788460867455, 0.004352293358406048]
