upcoming announcement	[-0.13343642483686347, 0.25059297682152665, -0.09202874090220904, 0.004717090504283752, -0.2325432898785141, 0.09228722458621767, 0.09962099751600346, 0.12610799188830987, 0.08901168992726341, 0.05159580529361053, -0.15719779386571028, 0.04616851107335893, -8.8731829988427e-05, 0.11205935074112079, -0.21263761776961887, -0.13281675094795178, -0.12441924967997259, -0.0711001790875663, -0.12812802647848145, 0.10511025427062544, 0.16835707129631597, -0.15363992148600164, 0.2577937757391134, 0.12183556081335255, -0.08033725413063379, -0.16047972338419914, 0.003614714237150381, 0.09267659033414127, -0.05607575566613315, 0.19203832369560872, 0.05783555397556892, 0.11895127328840399, 0.13029367784553922, -0.12137408669261146, 0.05407936653870655, 0.1583270710006699, 0.2255039853004379, 0.1306040411271576, 0.23393103092520154, -0.14090366961639966, 0.1933024113566033, -0.18183463182668902, 0.10808738051886677, -0.14199396745362727, -0.11020026316424616, -0.04369492440054134, 0.1291948462116898, -0.09317581666357563, -0.014664096769702688, 0.29319479381170255]
ipad tablet	[-0.1462723264174964, 0.10474412424014176, 0.09308959876959448, 0.02655992241329989, 0.12769608127947205, 0.13476920377229248, 0.14714289695305707, 0.2082310003673527, -0.07372689220221612, 0.07398600680793603, -0.21020099129821582, -0.008389398921409908, 0.05442266051537284, -0.1055606463828411, 0.006031349404535242, 0.05061036439800116, 0.2211975031019185, 0.26712103134912035, 0.056089799790281024, 0.042293154697241736, -0.05905508138743784, -0.06674868920942971, 0.17845528131737415, -0.19042990440009663, -0.04685957576584532, 0.26257656860679834, -0.07546921589522254, 0.05620953440565154, -0.041137958305487526, 0.19588598717776645, -0.16947170309722884, -0.06469217367516285, 0.06432999022032812, 0.12388966022859302, -0.10678464272108687, 0.10846042441180043, -0.13012420265526725, 0.18289910772159218, 0.17404136714710033, 0.1361357082064079, -0.04706605834652186, -0.0069720383645783, 0.02038873266878487, 0.20655103671574732, 0.19865870206524436, -0.19995809511578921, 0.16424593476783028, -0.1868569715548684, 0.0318184894973898, 0.3211246402060195]
apple 's new device	[0.10611503808104666, 0.11844166950820101, 0.09930868688726827, 0.20999777282592172, 0.1910384080128013, -0.21701057565779208, -0.10052433231364143, -0.16317442296781517, -0.009879521402899634, -0.03676847830734212, -0.1285762789770314, 0.004997169241591005, 0.2719173406432897, -0.18755448243414785, -0.2130918666058425, 0.08982895261173414, -0.15857239590233896, -0.12533491689245077, -0.1293790794713734, -0.20461104309061096, -0.11315668644180628, -0.08068903450588776, -0.17809799003830287, 0.007107117034627867, 0.056285212047557986, -0.07175690304172815, -0.11037282969968555, 0.12651625236670502, 0.21650958851286592, 0.06909631211446142, 0.133677045822058, -0.08823057994097, 0.07702179431192863, 0.08985956530829252, 0.18118624232667938, 0.08093184236500722, 0.20525645127722256, 0.009834054120708341, -0.19013489318052726, -0.22560055877282328, 0.08940195743922746, 0.11560256085282526, -0.12114454747320919, 0.2553438076035659, -0.04640697688153066, 0.08694718234563653, 0.09847418009641763, -0.12736197707508046, -0.14296752894365786, 0.12454951893804211]
winner	[0.05668698925036265, -0.08855494533665913, -0.07822426028093221, 0.22923721121375273, -0.1204269743787375, -0.19845676251584055, -0.2531270897705513, -0.1907025192057458, 0.08974836248494866, 0.06176097806653133, -0.055747256566895866, 0.12264913414030623, 0.10821795785129897, 0.10555184658296582, -0.2194270446680999, 0.15763058369016106, -0.020880420709189006, 0.08071212638338146, 0.12740342128598833, 0.040862183645618375, -0.07408197128871158, -0.167730342326714, -0.23092621094443933, -0.07651620780382554, -0.04121461958484765, -0.10220837913679358, -0.00830695716938014, 0.21196110597801116, 0.19949790684156204, -0.20278544342679952, -0.016357369130152653, 0.04642306062452174, 0.20915232356856994, -0.17719928819820271, 0.030636741442627628, 0.17785630912304284, 0.24245057252781257, 0.22148380373725338, -0.14057534751962633, -0.01856517205089476, 0.053918913190177824, 0.17468329258343873, 0.11524177819525354, 0.02119082925071456, 0.15537911498014556, -0.011620967590470798, 0.11298234370898322, -0.11571659771314849, 0.1764859421363596, 0.16597623897215336]
ipad	[0.13472616579450475, -0.11437951256128262, 0.008348454334404898, -0.13040118329185438, 0.238204010944472, 0.17065466654161132, 0.10446407264423023, -0.08927651763436435, -0.24598438252172103, 0.07342938995207239, 0.06549121156100801, -0.18785243494448206, 0.019389437655136173, 0.20741500433399016, -0.10668089999382739, -0.026859266429439276, -0.19137915891198104, -0.1573751974195115, -0.06888499829807701, 0.1298343470020878, 0.13237349706962667, -0.12424412885005907, 0.24637376024319024, -0.038555941584841574, 0.13149649558609283, 0.1049664529821663, 0.19959677977176302, -0.09027327097774746, 0.15585768288701649, -0.14393572957820988, 0.08620192408851052, -0.1462165231467794, -0.20885768244585362, -0.165979753200512, -0.15868512083721123, -0.16991229670487995, -0.060695594001093936, 0.21184932372665102, -0.09396095086727353, -0.17944152190614762, -0.01023552187023103, -0.06887857146456286, 0.08099559758704276, -0.13933332328888398, -0.14734451300988627, 0.008930430827705248, -0.11839869328836822, 0.22258100398880662, 0.05033847112305477, 0.1555266338448949]
little chip	[0.00891616798628081, -0.16912513599259066, 0.1835937550478922, -0.010444225627557844, -0.04779260662216919, -0.11901059490791051, 0.09687764677599242, -0.1177770512081344, -0.24267797483648224, 0.17802889562144947, -0.022576933469049196, 0.10969461350535067, 0.2719388954235448, 0.11251360919002058, 0.06802098346574205, -0.11729241424121949, -0.24029614597819737, -0.006299788432793473, 0.10309001741111049, 0.04947736249808421, 0.12459905910799365, 0.05507386880663125, -0.16581541570672345, -0.12605345489521302, -0.2646373530909502, 0.23030723445947487, 0.14206266157114913, 0.10941580145623361, 0.023789579452719846, -0.16484898272931967, 0.09236099441276806, -0.2347229741234171, 0.10842907414761041, 0.16326992610164562, -0.06828107757910139, 0.04242244929538929, 0.004388053814735412, -0.12865884301712788, 0.1229057746117191, 0.21960915642338086, 0.005011232479810919, 0.23158958964477927, -0.16556923118351413, -0.1384215262480008, 0.04094728807585007, 0.11007959642136834, 0.01785225400414058, 0.1996991052979572, 0.02887824987372327, -0.1744632696676544]
apple itself	[0.0015065923755899365, 0.05408292801939999, 0.1788755807062853, -0.054718105666717406, 0.09873788387040217, 0.11502085829765485, 0.24438764683342554, -0.2420071550889513, -0.279470130451142, -0.03315077655174036, 0.25400989461907914, -0.04447724625111287, 0.1270270369907647, 0.1499845837045529, 0.15043526359799883, -0.12598983456341298, -0.1959891527667329, 0.1801813872813963, -0.14583962829015953, -0.0657628988805156, -0.0637425080727548, -0.008639843779169402, 0.11480194335743389, 0.06285299437962137, -0.16791637398907075, 0.22810130813619145, 0.22137269974171017, 0.08643119506166011, -0.20329140705642637, 0.10099812474676252, 0.14003324019106309, -0.149794761225669, -0.047026912899224546, 0.015596447063247785, 0.11346699194591085, -0.17646846345205008, -0.15802130632493402, -0.1723152935057731, 0.029061113111714693, 0.058660781138659995, -0.04304338242190991, 0.11453896258592608, -0.07516996384498995, 0.06754920437884224, 0.05354835753964299, 0.04766709985437211, -0.10844794637520258, 0.3034754490852304, -0.007365247418529424, 0.10148540139386765]
apple co/foundermy prius	[0.2931241765611447, 0.23285090260995855, 0.061476232793336194, -0.15802397697267118, 0.053907783663451496, -0.05638786660850184, -0.11163390383335389, 0.10217673095714422, 0.13952096687692386, -0.20825228393250186, 0.08123214631753072, 0.0383628307581213, -0.046043430930442726, 0.15845137795472053, 0.23271344533192861, -0.16374079649616222, 0.03448439365155437, 0.03368981452825751, -0.13913035070858026, 0.10064060420211754, 0.10951476774547352, 0.04521404058516493, 0.1270137492191558, -0.06956676104871093, 0.18996645327137401, 0.17663498186024143, -0.10329800877220066, -0.03305853881298298, 0.08169304949798475, -0.11965014335310319, -0.02723492120460078, -0.3303479269105188, 0.044894457438408586, 0.07848728945277327, 0.20659605768332018, -0.18793395986237268, 0.02799811985080385, -0.05714122510967122, -0.06402716260468548, 0.2023721226449242, -0.18866768367845507, 0.03429296431685894, -0.26962706897786975, -0.02804309332241442, -0.11526901628930404, -0.07635329307251999, -0.01257851617949124, 0.04628790619245816, 0.19954098030035877, -0.19879290932526197]
problem	[0.11180823240025338, 0.03609351363051786, 0.03462796197671783, 0.1426447791216968, 0.08718067314362304, -0.08677762392801942, -0.0540882100739883, 0.03639852661145298, -0.04888058042001544, 0.25040228761015754, 0.015807954516142995, 0.06715431987901155, 0.07666068729489306, -0.14952996089422335, 0.1861613952039016, 0.05604999361789288, -0.00030416860544875787, 0.15918383456364105, -0.20225165014095386, 0.03502345449515828, -0.24649407801749115, 0.10913157337944392, 0.13539166495737187, -0.2020769044277158, -0.09472025362989601, 0.04539998436016107, -0.3740136689782336, -0.1979857627852929, -0.014140576309680174, 0.006927352581445093, -0.025397208132272156, -0.08284927497625624, 0.06771534791530537, 0.10291036383899631, 0.13803776584429955, 0.025874636918313165, 0.008502250520886464, 0.17424692972855785, -0.017566375760464863, 0.18337923006146603, -0.17116997005705556, 0.13412805043968057, -0.3566187066521194, 0.11550266671266113, 0.15380919752200414, 0.0786018422350447, 0.023133833432338463, -0.15136862315270339, 0.21870130487927616, -0.15495636924341943]
chinese firm claim apple	[-0.05325895794967982, -0.03819550528234534, -0.023263940208522543, -0.031893796663433276, -0.15872604416469943, -0.10815825993023229, 0.16571947719264166, 0.2154249476235236, -0.04736506132005875, -0.08968767628345574, 0.26960469800113385, 0.23204080226071458, -0.1450184394888947, 0.19452674993638422, 0.025245315266634667, -0.23523356180599064, 0.026987015884406742, 0.20529358845188705, -0.2475503201544756, -0.1945339394369082, -0.03608285796837291, -0.15440782235046702, -0.09656284255468076, -0.09030468570637716, 0.1618137216851426, 0.2114915580612321, -0.0026351101263565923, 0.0315368143270847, -0.09446593191496876, -0.02253395304766724, -0.17556402758791195, -0.1485704645451997, 0.0863573447772296, -0.21005764448315506, -0.051877673761492396, -0.16660658972956563, 0.09600220864143624, -0.05974800396472495, -0.20216645380631124, 0.004300187170685594, 0.17903862092942277, 0.18032654338657567, 0.1152981881066058, -0.1576702146253472, 0.17734061678810345, -0.07432639338486974, 0.0021061301390198546, 0.10619858710141346, 0.15734429762047886, -0.03759488733941169]
